
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010050                       # Number of seconds simulated (Second)
simTicks                                  10049850000                       # Number of ticks simulated (Tick)
finalTick                                 10049850000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     20.11                       # Real time elapsed on the host (Second)
hostTickRate                                499620978                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     704152                       # Number of bytes of host memory used (Byte)
simInsts                                      7064287                       # Number of instructions simulated (Count)
simOps                                        7064287                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   351195                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     351195                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  10049850000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20099701                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.845255                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.351462                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         7065491                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        7068343                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     15                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1214                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               391                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20096256                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.351724                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.483365                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13062132     65.00%     65.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7014587     34.90%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     10396      0.05%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      4941      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      3363      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       525      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       183      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        66      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        63      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20096256                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      29     52.73%     52.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     52.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     52.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     52.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     52.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     5      9.09%     61.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     61.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     61.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     61.82% # attempts to use FU when none available (Count)
