Type,number_regs,imm/shamt,aqrl/rm,Opcode,rd,rs1,rs2,rs3,pred,succ
C1,2,imm,,beq,,rs1,rs2,,,
C2,2,imm,,bne,,rs1,rs2,,,
C3,2,imm,,blt,,rs1,rs2,,,
C4,2,imm,,bge,,rs1,rs2,,,
C5,2,imm,,bltu,,rs1,rs2,,,
C6,2,imm,,bgeu,,rs1,rs2,,,
C7,2,imm,,jalr,rd,rs1,,,,
C8,2,imm,,lb,rd,rs1,,,,
C9,2,imm,,lh,rd,rs1,,,,
C10,2,imm,,lw,rd,rs1,,,,
C11,2,imm,,lbu,rd,rs1,,,,
C12,2,imm,,lhu,rd,rs1,,,,
C13,2,imm,,sb,,rs1,rs2,,,
C14,2,imm,,sh,,rs1,rs2,,,
C15,2,imm,,sw,,rs1,rs2,,,
C16,2,imm,,addi,rd,rs1,,,,
C17,2,shamt,,slli,rd,rs1,,,,
C18,2,imm,,slti,rd,rs1,,,,
C19,2,imm,,sltiu,rd,rs1,,,,
C20,2,imm,,xori,rd,rs1,,,,
C21,2,shamt,,srli,rd,rs1,,,,
C22,2,shamt,,srai,rd,rs1,,,,
C23,2,imm,,ori,rd,rs1,,,,
C24,2,imm,,andi,rd,rs1,,,,
C25,2,imm,,csrrw,rd,rs1,,,,
C26,2,imm,,csrrs,rd,rs1,,,,
C27,2,imm,,csrrc,rd,rs1,,,,
C28,2,imm,,csrrwi,rd,rs1,,,,
C29,2,imm,,csrrsi,rd,rs1,,,,
C30,2,imm,,csrrci,rd,rs1,,,,
C31,2,imm,,lwu,rd,rs1,,,,
C32,2,imm,,ld,rd,rs1,,,,
C33,2,imm,,sd,,rs1,rs2,,,
C34,2,imm,,addiw,rd,rs1,,,,
C35,2,shamt,,slliw,rd,rs1,,,,
C36,2,shamt,,srliw,rd,rs1,,,,
C37,2,shamt,,sraiw,rd,rs1,,,,
C38,2,imm,,flw,rd,rs1,,,,
C39,2,imm,,fsw,,rs1,rs2,,,
C40,2,imm,,fsd,,rs1,rs2,,,
C41,2,imm,,fld,rd,rs1,,,,
