Type,number_regs,imm/shamt,aqrl/rm,Opcode,rd,rs1,rs2,rs3,pred,succ
E1,2,,rm,fsqrt.s,rd,rs1,,,,
E2,2,,rm,fcvt.w.s,rd,rs1,,,,
E3,2,,rm,fcvt.wu.s,rd,rs1,,,,
E5,2,,rm,fcvt.s.wu,rd,rs1,,,,
E6,2,,rm,fcvt.s.l,rd,rs1,,,,
E7,2,,rm,fcvt.s.lu,rd,rs1,,,,
E8,2,,rm,fcvt.l.s,rd,rs1,,,,
E9,2,,rm,fcvt.lu.s,rd,rs1,,,,
E10,2,,rm,fcvt.s.d,rd,rs1,,,,
E11,2,,rm,fcvt.d.s,rd,rs1,,,,
E12,2,,rm,fsqrt.d,rd,rs1,,,,
E13,2,,rm,fcvt.w.d,rd,rs1,,,,
E14,2,,rm,fcvt.wu.d,rd,rs1,,,,
E15,2,,rm,fcvt.d.w,rd,rs1,,,,
E16,2,,rm,fcvt.d.wu,rd,rs1,,,,
E17,2,,rm,fcvt.l.d,rd,rs1,,,,
E18,2,,rm,fcvt.lu.d,rd,rs1,,,,
E19,2,,rm,fcvt.d.l,rd,rs1,,,,
E20,2,,rm,fcvt.d.lu,rd,rs1,,,,
