Type,number_regs,imm/shamt,aqrl/rm,Opcode,rd,rs1,rs2,rs3,pred,succ
H1,3,,aqrl,amoadd.w,rd,rs1,rs2,,,
H2,3,,aqrl,amoxor.w,rd,rs1,rs2,,,
H3,3,,aqrl,amoor.w,rd,rs1,rs2,,,
H4,3,,aqrl,amoand.w,rd,rs1,rs2,,,
H5,3,,aqrl,amomin.w,rd,rs1,rs2,,,
H6,3,,aqrl,amomax.w,rd,rs1,rs2,,,
H7,3,,aqrl,amominu.w,rd,rs1,rs2,,,
H8,3,,aqrl,amomaxu.w,rd,rs1,rs2,,,
H9,3,,aqrl,amoswap.w,rd,rs1,rs2,,,
H10,3,,aqrl,sc.w,rd,rs1,rs2,,,
H11,3,,aqrl,amoadd.d,rd,rs1,rs2,,,
H12,3,,aqrl,amoxor.d,rd,rs1,rs2,,,
H13,3,,aqrl,amoor.d,rd,rs1,rs2,,,
H14,3,,aqrl,amoand.d,rd,rs1,rs2,,,
H15,3,,aqrl,amomin.d,rd,rs1,rs2,,,
H16,3,,aqrl,amomax.d,rd,rs1,rs2,,,
H17,3,,aqrl,amominu.d,rd,rs1,rs2,,,
H18,3,,aqrl,amomaxu.d,rd,rs1,rs2,,,
H19,3,,aqrl,amoswap.d,rd,rs1,rs2,,,
H20,3,,aqrl,sc.d,rd,rs1,rs2,,,
