name,simTicks,branchPred.BTBHitRatio,btb.mispredict::total,cpu.numCycles,cpu.cpi
3_fcvt_d_w_s,724379160000.0,0.496478,335.0,3153211.0,0.68376
7_fdiv_s_s,2379824500.0,0.761488,317.0,4759651.0,0.609092
1_addiw_s,2000514500.0,0.681604,317.0,4001031.0,0.635377
1_ori_s,1897038000.0,0.650993,171.0,3794078.0,0.642898
6_fmul_s_s,6659182550000.0,0.501615,66.0,91488.0,1.936623
8_fsub_d_s,393680586250.0,0.496667,335.0,3140077.0,0.680911
1_addi_s,1868813500.0,0.639706,317.0,3737629.0,0.647737
7_fsub_d_s,305867258750.0,0.496667,335.0,3140077.0,0.680911
9_fcvt_w_s_s,1973343000.0,0.673778,317.0,3946688.0,0.637755
6_fadd_s_s,974611500.0,0.995765,69.0,1949225.0,0.51833
5_fdiv_s_s,4446195500.0,0.899226,317.0,8892393.0,0.553016
8_fdiv_s_s,1836198000.0,0.627569,317.0,3672398.0,0.651154
6_fdiv_d_s,1021642060000.0,0.496478,335.0,3153211.0,0.68376
1_xori_s,3385071000.0,0.857081,171.0,6770144.0,0.571144
8_fmul_s_s,890907960000.0,0.501615,66.0,91488.0,1.936623
4_fcvt_s_wu_s,2185425500.0,0.726293,317.0,4370853.0,0.621148
6_fsub_d_s,359305420000.0,0.496667,335.0,3140077.0,0.680911
1_sltiu_s,421796735000.0,0.501702,66.0,91755.0,1.942357
2_slliw_s,2824737500.0,0.815719,317.0,5649477.0,0.588856
1_jalr_s,6080967815000.0,0.501755,66.0,91078.0,1.929046
7_fsub_s_s,1924498000.0,0.661925,419.0,3848998.0,0.638155
9_fcvt_wu_d_s,406138940000.0,0.496478,335.0,3153211.0,0.68376
5_fsub_d_s,336757820000.0,0.496667,335.0,3140077.0,0.680911
3_fcvt_s_lu_s,1908939500.0,0.653594,317.0,3817881.0,0.643738
1_bltu_s,286790870000.0,0.495213,105.0,3141797.0,0.674772
6_fmul_d_s,245566590000.0,0.496667,335.0,3140281.0,0.680956
4_fcvt_d_lu_s,294808290000.0,0.496478,335.0,3153211.0,0.68376
3_fcvt_d_lu_s,2196153320000.0,0.496478,335.0,3153211.0,0.68376
4_fcvt_s_l_s,1888060500.0,0.646504,317.0,3776123.0,0.645791
7_fmul_d_s,393964690000.0,0.496667,335.0,3140281.0,0.680956
6_fsub_s_s,1898334000.0,0.654338,419.0,3796670.0,0.639397
5_fmul_d_s,451729180000.0,0.496667,335.0,3140281.0,0.680956
1_bne_s,258643580000.0,0.495213,105.0,3141797.0,0.674772
7_fmul_s_s,7894549870000.0,0.501615,66.0,91488.0,1.936623
2_sraiw_s,3311309000.0,0.852584,344.0,6622620.0,0.572364
2_srli_s,2047889000.0,0.697027,344.0,4095780.0,0.62848
5_fsub_s_s,2257674500.0,0.742862,419.0,4515351.0,0.61223
1_blt_s,370026180000.0,0.495213,105.0,3141797.0,0.674772
5_fadd_s_s,2348266500.0,0.998286,69.0,4696535.0,0.507448
9_fcvt_l_d_s,421075810000.0,0.501706,66.0,91146.0,1.930078
8_fdiv_d_s,276963510000.0,0.496478,335.0,3153211.0,0.68376
8_fsub_s_s,1912198500.0,0.657969,419.0,3824399.0,0.639301
9_fcvt_lu_s_s,1914548500.0,0.655451,317.0,3829099.0,0.643197
1_andi_s,333586308750.0,0.496098,111.0,3146957.0,0.681955
3_fcvt_s_l_s,1828577000.0,0.624614,317.0,3657156.0,0.651976
4_fcvt_s_lu_s,5322869500.0,0.919057,317.0,10645741.0,0.543524
8_fmul_d_s,1588269840000.0,0.496667,335.0,3140281.0,0.680956
5_fdiv_d_s,375464610000.0,0.496478,335.0,3153211.0,0.68376
1_bgeu_s,1065384700000.0,0.50048,72.0,161404.0,1.649083
9_fcvt_w_d_s,684060993750.0,0.501706,66.0,91146.0,1.930078
5_fadd_d_s,228399390000.0,0.496667,335.0,3140077.0,0.680911
3_fcvt_d_wu_s,259690450000.0,0.496478,335.0,3153211.0,0.68376
9_fcvt_wu_s_s,1839322500.0,0.628767,317.0,3678647.0,0.65082
